Name,Country,Category,Purpose,OrbitClass,OrbitType,Longitude,Mass,LaunchDate,Contractor,LaunchSite,LaunchVehicle,Grouped_Purpose
BIROS,Germany,Government,Earth Observation,LEO,Sun-Synchronous,0.0,130,2016-06-22,German Aerospace Center (DLR),Satish Dhawan Space Centre,PSLV XL,Earth Observation
BisonSat,USA,Civil,Earth Observation/Technology Development,LEO,Non-Polar Inclined,0.0,1,2015-10-08,Salish Kootenai College,Cape Canaveral,Atlas 5,Earth Observation
BKA 2,Belarus,Government,Earth Observation,LEO,Sun-Synchronous,0.0,400,2012-07-22,NPO VNIIEM,Baikonur Cosmodrome,Soyuz-Fregat,Earth Observation
BlackSky Global 1,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,56,2018-11-29,Spaceflight Industries,Satish Dhawan Space Centre,PSLV,Earth Observation
BlackSky Global 14,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2021-11-18,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 15,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2021-11-18,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 16,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2021-12-09,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 17,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2021-12-09,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 18,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2022-04-02,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 19,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2023-03-24,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 2,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,55,2018-12-03,Spaceflight Industries,Vandenberg AFB,Falcon 9,Earth Observation
BlackSky Global 20,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2022-04-02,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 3,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,56,2019-06-29,Spaceflight Industries,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 4,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,56,2019-08-19,Spaceflight Industries,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Global 7,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,56,2020-08-07,LeoStella,Cape Canaveral,Falcon 9,Earth Observation
BlackSky Global 8,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,56,2020-08-07,LeoStella,Cape Canaveral,Falcon 9,Earth Observation
BlackSky Global 9,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,56,2021-03-22,LeoStella,Rocket Lab Launch Complex 1,Electron,Earth Observation
BlackSky Pathfinder 1,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,44,2016-09-26,Spaceflight Industries,Satish Dhawan Space Centre,PSLV,Earth Observation
Bluewalker 1,Lithuania,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,10,2019-04-01,NanoAvionics,Satish Dhawan Space Centre,PSLV,Technology Development
Brik-II,Netherlands,Government,Earth Observation,LEO,Non-Polar Inclined,0.0,10,2021-06-30,Solutions in Space,Virgin Orbit,LauncherOne,Earth Observation
BRIO,USA,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,4,2018-12-03,SpaceQuest,Vandenberg AFB,Falcon 9,Technology Development
BRITE-CA-1,Canada,Civil,Space Science,LEO,Sun-Synchronous,0.0,10,2014-06-19,"University of Toronto, Institute for Aerospace Studies",Dombarovsky Air Base,Dnepr,Space Science
BRITE-PL-2,Multinational,Government,Space Science,LEO,Sun-Synchronous,0.0,10,2014-08-19,"Space Research Center, Polish Academy of Sciences",Taiyuan Launch Center,Long March 2B,Space Science
BRO-1,France,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,8,2019-08-19,GomSpace ApS,Rocket Lab Launch Complex 1,Electron,Earth Observation
BRO-2,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,8,2020-11-20,Gom Space ApS,Rocket Lab Launch Complex 1,Electron,Earth Observation
BRO-3,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,8,2020-11-20,Gom Space ApS,Rocket Lab Launch Complex 1,Electron,Earth Observation
BRO-4,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,8,2021-08-17,GomSpace ApS,Guiana Space Center,Vega,Earth Observation
BRO-6,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,8,2022-05-02,GomSpace ApS,Rocket Lab Launch Complex 1,Electron,Earth Observation
BRO-7,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,10,2022-04-01,GomSpace ApS,Cape Canaveral,Falcon 9,Earth Observation
BRO-8,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,10,2023-01-03,Gom Space ApS,Cape Canaveral,Falcon 9,Earth Observation
BRO-9,France,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,10,2023-04-15,Gom Space ApS,Vandenberg AFB,Falcon 9,Earth Observation
Brokkr-1,United Kingdom,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,10,2023-04-15,OrbAstro,Vandeberg AFB,Falcon 9,Technology Development
Buccaneer RMM,Australia,Military/Civil,Technology Development,LEO,,0.0,4,2017-11-18,Defence Science and Technology Group/University of New South Wales,Vandenberg AFB,Delta 2,Technology Development
Bugsat-1,Argentina,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,25,2014-06-19,Satellogic,Dombarovsky Air Base,Dnepr,Technology Development
CACTUS-1,USA,Government/Civil,Technology Development,LEO,Non-Polar Inclined,0.0,4,2021-01-17,USA,FANTM-RAiL [Xtenti],LauncherOne,Technology Development
Calipso,France,Government,Earth Science,LEO,Sun-Synchronous,0.0,587,2006-04-28,Alcatel Alenia Space,Vandenberg AFB,Delta 2,Earth Science
